Year,A,BBB,BB,B,CCC
1981,0.0,0.0,0.0,2.33,0.0
1982,0.21,0.35,4.24,3.18,21.43
1983,0.0,0.34,1.16,4.7,6.67
1984,0.0,0.68,1.14,3.49,25.0
1985,0.0,0.0,1.5,6.53,15.38
1986,0.18,0.34,1.33,8.45,23.08
1987,0.0,0.0,0.38,3.13,12.28
1988,0.0,0.0,1.05,3.68,20.37
1989,0.18,0.61,0.73,3.4,33.33
1990,0.0,0.58,3.57,8.56,31.25
1991,0.0,0.55,1.69,13.84,33.87
1992,0.0,0.0,0.0,6.99,30.19
1993,0.0,0.0,0.7,2.62,13.33
1994,0.14,0.0,0.28,3.09,16.67
1995,0.0,0.17,0.99,4.59,28.0
1996,0.0,0.0,0.45,2.91,8.0
1997,0.0,0.25,0.19,3.52,12.0
1998,0.0,0.41,0.82,4.64,42.86
1999,0.18,0.2,0.95,7.31,33.82
2000,0.27,0.37,1.16,7.71,35.96
2001,0.27,0.34,2.98,11.45,45.45
2002,0.0,1.02,2.9,8.2,44.44
2003,0.0,0.23,0.59,4.07,32.93
2004,0.08,0.0,0.44,1.45,16.3
2005,0.0,0.07,0.31,1.75,9.09
2006,0.0,0.0,0.3,0.82,13.33
2007,0.0,0.0,0.2,0.25,15.24
2008,0.39,0.49,0.81,4.11,27.27
2009,0.22,0.55,0.75,10.93,49.46
2010,0.0,0.0,0.58,0.87,22.83
2011,0.0,0.07,0.0,1.68,16.42
2012,0.0,0.0,0.3,1.58,27.52
2013,0.0,0.0,0.1,1.52,24.67
2014,0.0,0.0,0.0,0.79,17.51
2015,0.0,0.0,0.16,2.42,26.67
2016,0.0,0.06,0.47,3.76,33.17
2017,0.0,0.0,0.08,1.0,26.67
2018,0.0,0.0,0.0,0.94,27.18
2019,0.0,0.11,0.0,1.49,29.76
2020,0.0,0.0,0.94,3.53,47.68
2021,0.0,0.0,0.0,0.52,10.99
